city,r_name,username,text,address,star,src,time,friend_count,review_count,photo_count
Los Angeles,Bottega Louie,James A.,Rude managers.Outdated food and ambiance.0/5 stars.............................................,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/eWJynFyKFX9mfewWonxJdA/60s.jpg,11/3/2023,302,70,23
Los Angeles,Bottega Louie,Alexis L.,Bad attitude's EVERYWHERE. Been wanting to come here for years and finally did. Never again.,"Central LA, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/wnrJp6moES_d4fQ7HMPksw/60s.jpg,7/6/2023,1,36,30
Los Angeles,Bottega Louie,Peter G.,"I am hesitant to write this review for two reasons. First of all, Bottega Louie is one of my all time favorite restaurants in LA and second, I'm going to admit that for the first time in my life I gave a bad tip. I wish it all went to the barback.I got in at 1030pm solo and knowing the palace closes at 11pm I planned to sit at the bar. 7 of the stools at the bar were taken up by a 3 person party with bags on the stools beside them, and one stool in between each of them as well. several bar tables behind them were seated, I imagine they may have wanted bar seating but, who can guess? I took the remaining far corner seat next to the wall, not an issue for me, I thought.I sat for several minutes but worried the kitchen may be closing I finally called out to the barback and he came over and I asked if I could still have dinner, which he said yes. After the barback pointed me out and several long minutes the bartender finally realized I was there and gave me a menu. I wished they just told me no.I ordered over $100 worth of items. After I gave the order I wanted a soda too but had to wave my arm in the air after waiting 5 minutes to get the bartender's attention. When my food came after 5 minutes of staring at him, I had to wave my arm in the air to get the bartender's attention for chilli and parm. After my drink was visibly empty for awhile, I had to wave my arm in the air for the bartender to fill it. I wondered if he could at least just check on me once without me having to call out or raise my hand. He finally at the end, came without me calling him.....  to give me the check.TIPS acronym: ""To Insure Prompt Service"".","Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/T_LEYuzhdWhKyALPq9fnEw/60s.jpg,4/12/2023,599,29,6
Los Angeles,Bottega Louie,Costcopay U.,Of all the ribbon Colors that are on display here you have to pay $1.50 for a ribbon and you don't have a choice of ribbons. You only have one choice which is pink no other choice and they try to shove all your shit into one bag smashing all of your cakes.,"Downtown, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,3/12/2023,0,1,1
Los Angeles,Bottega Louie,Pradeep M.,Very expensive for average food,"Irvine, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/flvEvyAmkb23nuyaw6l5BA/60s.jpg,3/8/2023,151,5,
Los Angeles,Bottega Louie,Andrew P.,"Looking for top rated pizza in DTLA and this place was rated number one.  I ordered a $30 margarita pizza and asked to have it tin and crispy.  Server told me it was always thin and crispy.  It arrived thick, doughy and undercooked.  I asked if I can have it cooked more and was told they would make me a new one.  When the second one came, it was only slightly better.  I wanted to send this one back as well, but decided to just deal with the loss.  A $30 pizza shouldn't look like an out of the oven Digiorno frozen pizza, and that is what it literally looked like.  They need to teach the pizza maker how to use a brick oven.   Who ever rated this number one should share whatever they are smoking.","San Francisco, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,9/18/2022,0,2,
Los Angeles,Bottega Louie,Brad M.,Entire experience there was terrible. Never going there again. Would not recommend anyone,"Irvine, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/aPI2_1Pw_PooNtL16_bWtA/60s.jpg,9/11/2022,117,18,4
Los Angeles,Bottega Louie,Britney N.,Does not close at 12am on weekends!!!! They close at 11pm! Need to change hours online!,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,9/10/2022,0,9,5
Los Angeles,Bottega Louie,Jorge D.,Is always very dirty  hard to find what I want,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,7/14/2022,0,2,
Los Angeles,Bottega Louie,Jeff G.,One of the worst restaurants I have ever been too. The man at the front was so rude and he made me leave the restaurant even though had my vaccinations card. I have been coming to this restaurant for over 5 years and they do not want my business. I will never step foot in this establishment again. You lost a loyal customer.,"San Pedro, San Pedro, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,12/23/2021,0,3,
Los Angeles,Bottega Louie,Yellow C.,Please open soon.....been getting my coffee and pastries  from here...closed til further notice,"Downtown Los Angeles, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/CH-hbuduwSTnOPi7wL7g3A/60s.jpg,3/24/2020,0,9,2
Los Angeles,Bottega Louie,1 2.,Your website states that you don't need reservations because your restaurant has 255 tables. So our party of 8 showed up on a Thursday night and we were told that there would be a 2 1/2 hour wait! That is simply absurd! You don't take reservations but expect people to wait two and a half hours for a table? You should make exceptions and take reservations for big parties. So don't waste your time here. We went around the corner to H&H Brazillian Steakhouse and were happy to give them our money for an amazing dinner experience and extremely friendly service! I gave Louie Bottega one star for their pastries which we did purchase to go after we ate dinner at H&H Brazillian Steakhouse.,"Goodyear, AZ",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,1/8/2020,0,2,
Los Angeles,Bottega Louie,Michael T.,Mediocre service and food. I ordered the Chicken Milanese which is supposed to be a breaded chicken cutlet topped with a lemon caper sauce.  Instead I got the cutlet but no sauce and a handful of lettuce thrown on top.  WTF was that! Salad arrived the same time as the main course.  For the price they charge they need to do it right. There are far better Italian restaurants to be found downtown at much better value.,"Woodland Hills, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,10/14/2019,0,2,
Los Angeles,Bottega Louie,Cinthia B.,"I had to come on here to let it be known that your customer service is seriously lacking. I call the other morning and spoke to a girl named Sophie. She spoke to me in such a condescending tone with some of the simple questions I asked her and kept telling me ""you need to speak up"", I don't need to anything and she should learn how to converse to customers and be more hospitable.","Sanford, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/FnZB6Fospms-IkikukHJOg/60s.jpg,6/14/2019,0,1,
Los Angeles,Bottega Louie,Grover M.,The noise in this restaurant during prime eating times is beyond endurance. I asked the waiter why they had to play music over the already loud ambient noise and he told me that it helps to turn over the tables. While I appreciated his candor I don't like being manipulated. The food is OK and the service is not bad but until I become deaf I am not returning to this restaurant.,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,2/10/2019,0,7,
Los Angeles,Bottega Louie,Hawk F.,Food is over hyped. Service is rushing people out of there..  price is okay. I went twice and ordered the same dish. And it looks and tastes completely different????? Servers are super condescending for no reason just cause you work at a better restaurant??? Bye. Not recommended.,"San Francisco, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,2/3/2019,0,6,4
Los Angeles,Bottega Louie,Brittanie R.,Expectations were higher.. Not to mention came across rude people here who seem to not care about there job!,"Inglewood, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,1/31/2019,0,4,
Los Angeles,Bottega Louie,Heidy M M.,This to me wasn't a good place I was looking for  Beignets and I went to buy some when I was going to eat them the where basically just a donut And sugar.they were like the sugar covered donuts from krispy creme I wasent very happy with it I was pretty disappointed in it.i also think they should try and put in effort to actually make beignets and not make them like sugar doughnuts like I would go all the way to New Orleans just for some real beignets,"South Los Angeles, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,1/11/2019,0,2,
Los Angeles,Bottega Louie,Aeri K.,"This place is not up to par anymore. Super duper soggy pizza! Also they add 4% charge on your bill now. Not sure what that is for. Came here for Saturday dinner and it was half empty. I can see why now.I can't understand how they can charge a surcharge when you're buying macarons togo. I got a box of 5 on the way out and saw this 4% charge also.Yes, minimum wage went up. Not just for you. It went up for everyone! I can understand dine in but really for coffee and macaron togo?","Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/LMgmoJ8wLPzbpJq-U5VFcQ/60s.jpg,11/3/2018,512,279,88
Los Angeles,Bottega Louie,Erica A.,found a bug in my salad. waitress says its because they use organic leaves. still not a happy camper.,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/cFkNBNpPbWRfkqIZMDsu0Q/60s.jpg,10/16/2018,0,7,
Los Angeles,Bottega Louie,Dougie J.,"I'll keep this short and sweet.  If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be.  Successful for the same reason that the Fridays chain is.","Central LA, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/bRXfhJGX4Vtiq_5dcZyu3g/60s.jpg,9/24/2018,0,17,
Los Angeles,Bottega Louie,Dougie J.,"I'll keep this short and sweet.  If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be.  Successful for the same reason that the Fridays chain is.","Central LA, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/dJNcWjUuYarLPYjfqPolRw/60s.jpg,9/24/2018,0,18,
Los Angeles,Bottega Louie,Dougie J.,"I'll keep this short and sweet.  If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be.  Successful for the same reason that the Fridays chain is.","Central LA, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/zp5fb-o7KWgvI7oAZDdjFQ/60s.jpg,9/24/2018,0,18,
Los Angeles,Bottega Louie,Joey S.,"Amazing pastries, awful room to have an intimate dinner loud. Much too loud and the service is hit or miss.","Studio City, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/aJMCwhfydk9SsfbPEx78pg/60s.jpg,9/15/2018,197,4,
Los Angeles,Bottega Louie,J B.,It is so noisy here.  I stopped going there when the last time the meatballs were burnt and they waiter said that is how we serve it. I thought deafening noise and burnt meatballs for $15.00 dollars. No more!  Great for the tourists. Not the locals.,"Downtown, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,9/13/2018,0,7,
Los Angeles,Bottega Louie,Claudia M.,"They burned my expensive pizza, they didn't didn't want to split my bill, it is too loud for it to be a fancy restaurant","South Los Angeles, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,8/29/2018,0,3,1
Los Angeles,Bottega Louie,Dougie J.,"I'll keep this short and sweet.  If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be.  Successful for the same reason that the Fridays chain is.","Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/3tSLUbbroKaxzPjuV1cSEg/60s.jpg,8/16/2018,0,18,
Los Angeles,Bottega Louie,Dougie J.,"I'll keep this short and sweet.  If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be.  Successful for the same reason that the Fridays chain is.","Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/47gnVgNqf9TG2kUa9GU-iQ/60s.jpg,8/16/2018,0,18,
Los Angeles,Bottega Louie,Dougie J.,"I'll keep this short and sweet.  If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be.  Successful for the same reason that the Fridays chain is.","Central LA, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/nk0bGLlRQllRaHoNTBZRfg/60s.jpg,8/14/2018,0,18,
