city,title,competition,city_restaurant_no,competition_rate,chain
Phoenix,Aftermath,48.0,240,0.2,1
Phoenix,Neighborly Public House,28.0,240,0.11666666666666667,0
Phoenix,Oak,28.0,240,0.11666666666666667,0
Phoenix,Pubblico Italian Eatery,22.0,240,0.09166666666666666,0
Phoenix,Windsor,61.0,240,0.25416666666666665,1
Phoenix,Persepshen,4.0,240,0.016666666666666666,0
Phoenix,First & Last,43.0,240,0.17916666666666667,1
Phoenix,CC’s On Central,28.0,240,0.11666666666666667,0
Phoenix,Restaurant Progress,26.0,240,0.10833333333333334,0
Phoenix,Coabana,18.0,240,0.075,1
Phoenix,LATHA,4.0,240,0.016666666666666666,1
Phoenix,The Macintosh,48.0,240,0.2,0
Phoenix,The Green Woodpecker,14.0,240,0.058333333333333334,0
Phoenix,Rough Rider,50.0,240,0.20833333333333334,1
Phoenix,Valentine,33.0,240,0.1375,0
Phoenix,The Bread And Honey House Arcadia,38.0,240,0.15833333333333333,1
Phoenix,The Gladly,32.0,240,0.13333333333333333,1
Phoenix,The Clever Koi,21.0,240,0.0875,0
Phoenix,Sushi Michi,19.0,240,0.07916666666666666,0
Phoenix,Fate Brewing Company - Phoenix,17.0,240,0.07083333333333333,0
Phoenix,The Arrogant Butcher,24.0,240,0.1,1
Phoenix,Cibo,28.0,240,0.11666666666666667,1
Phoenix,Original Gravity,21.0,240,0.0875,0
Phoenix,Oven + Vine,33.0,240,0.1375,0
Phoenix,Fuego at The Clarendon,16.0,240,0.06666666666666667,0
Phoenix,The Palms Mediterranean Kitchen,4.0,240,0.016666666666666666,0
Phoenix,Hula’s Modern Tiki,5.0,240,0.020833333333333332,0
Phoenix,Ocotillo,52.0,240,0.21666666666666667,0
Phoenix,The Farish House,25.0,240,0.10416666666666667,1
Phoenix,Teddy’s Preserve - Temp. CLOSED,9.0,240,0.0375,1
Phoenix,Bobby Q,20.0,240,0.08333333333333333,0
Phoenix,Culinary Dropout,26.0,240,0.10833333333333334,1
Phoenix,The Parlor,26.0,240,0.10833333333333334,1
Phoenix,Culinary Dropout,28.0,240,0.11666666666666667,1
Phoenix,Glai Baan,4.0,240,0.016666666666666666,1
Phoenix,Mora Italian,19.0,240,0.07916666666666666,0
Phoenix,Little Rituals,16.0,240,0.06666666666666667,1
Phoenix,Taiwanmama,4.0,240,0.016666666666666666,1
Phoenix,Rosso Italian,19.0,240,0.07916666666666666,1
Phoenix,Buck & Rider,27.0,240,0.1125,1
Phoenix,La Santisima,23.0,240,0.09583333333333334,0
Phoenix,Welcome Diner,1.0,240,0.004166666666666667,0
Phoenix,Luci’s at the Orchard,33.0,240,0.1375,0
Phoenix,Samsara,18.0,240,0.075,0
Phoenix,The Kettle Black Kitchen & Pub,12.0,240,0.05,1
Phoenix,Gus’s World Famous Fried Chicken - 16th & Campbell,9.0,240,0.0375,0
Phoenix,Sandfish Sushi & Whiskey,18.0,240,0.075,0
Phoenix,Vovomeena,26.0,240,0.10833333333333334,0
Phoenix,Elevated Taproom,23.0,240,0.09583333333333334,0
Phoenix,Harumi Sushi & Sake- Downtown,10.0,240,0.041666666666666664,1
Phoenix,Wren & Wolf,17.0,240,0.07083333333333333,1
Phoenix,Belly Kitchen & Bar,11.0,240,0.04583333333333333,0
Phoenix,Miel De Agave,51.0,240,0.2125,1
Phoenix,Tequila Cocina + Cantina,20.0,240,0.08333333333333333,0
Phoenix,Upstairs At FLINT,16.0,240,0.06666666666666667,1
Phoenix,Binkley’s Restaurant,36.0,240,0.15,1
Phoenix,Sidecar Social Club,24.0,240,0.1,0
Phoenix,JINYA Ramen Bar - Central Phoenix,11.0,240,0.04583333333333333,0
Phoenix,Goji Berry,7.0,240,0.029166666666666667,0
Phoenix,Mifan claypot kitchen,7.0,240,0.029166666666666667,0
Phoenix,El Chullo Peruvian Restaurant,15.0,240,0.0625,0
Phoenix,Nook Kitchen,43.0,240,0.17916666666666667,1
Phoenix,The Henry,48.0,240,0.2,1
Phoenix,The Genuine,28.0,240,0.11666666666666667,0
Phoenix,Dick’s Hideaway,21.0,240,0.0875,0
Phoenix,Rice Paddy Restaurant,1.0,240,0.004166666666666667,0
Phoenix,PHX Burrito House,18.0,240,0.075,0
Phoenix,The Cracked Egg,35.0,240,0.14583333333333334,1
Phoenix,Renata’s Hearth,4.0,240,0.016666666666666666,0
Phoenix,Chantico,46.0,240,0.19166666666666668,1
Phoenix,Rokerij,14.0,240,0.058333333333333334,0
Phoenix,Chilte,26.0,240,0.10833333333333334,0
Phoenix,Lom Wong,4.0,240,0.016666666666666666,0
Phoenix,Otro Cafe,35.0,240,0.14583333333333334,0
Phoenix,Little Miss BBQ-Sunnyslope,11.0,240,0.04583333333333333,0
Phoenix,Fàme Caffe,26.0,240,0.10833333333333334,0
Phoenix,Vecina,19.0,240,0.07916666666666666,0
Phoenix,Hillstone Restaurant,31.0,240,0.12916666666666668,1
Phoenix,Arizona Wilderness DTPHX,5.0,240,0.020833333333333332,0
Phoenix,The Collins Small Batch Kitchen,26.0,240,0.10833333333333334,0
Phoenix,Pedal Haus Brewery,8.0,240,0.03333333333333333,0
Phoenix,Bacanora,18.0,240,0.075,0
Phoenix,New Hong Kong,8.0,240,0.03333333333333333,0
Phoenix,The Mexicano,24.0,240,0.1,1
Phoenix,Birdcall - Temp. CLOSED,18.0,240,0.075,0
Phoenix,Beignet Babe,5.0,240,0.020833333333333332,0
Phoenix,Lylo Swim Club,9.0,240,0.0375,0
Phoenix,Krazy Cajun Seafood & Hibachi,17.0,240,0.07083333333333333,0
Phoenix,Nishikawa Ramen,4.0,240,0.016666666666666666,0
Phoenix,Steak 44,15.0,240,0.0625,1
Phoenix,Ingo’s Tasty Food,21.0,240,0.0875,1
Phoenix,Chelsea’s Kitchen,28.0,240,0.11666666666666667,1
Phoenix,Hatch-it Green Chile Burgers & Tacos,10.0,240,0.041666666666666664,0
Phoenix,Cherryblossom Noodle Cafe,15.0,240,0.0625,0
Phoenix,Chick-A-Dee,7.0,240,0.029166666666666667,0
Phoenix,Anhelo Restaurant,33.0,240,0.1375,0
Phoenix,The Other Bar,18.0,240,0.075,0
Phoenix,The larder + the delta,34.0,240,0.14166666666666666,0
Phoenix,L’Amore Italian Restaurant,11.0,240,0.04583333333333333,0
Phoenix,Fly Bye,20.0,240,0.08333333333333333,0
Phoenix,Komodo Asian Fusion,4.0,240,0.016666666666666666,0
Phoenix,FLINT by Baltaire,37.0,240,0.15416666666666667,0
Phoenix,Carcara,23.0,240,0.09583333333333334,0
Phoenix,Gus’s World Famous Fried Chicken - Van Buren,10.0,240,0.041666666666666664,0
Phoenix,Forno 301 Phoenix,27.0,240,0.1125,0
Phoenix,Presidio Cocina Mexicana,35.0,240,0.14583333333333334,0
Phoenix,North Mountain Brewing Company,15.0,240,0.0625,0
Phoenix,Hash Kitchen Arcadia,34.0,240,0.14166666666666666,0
Phoenix,Different Pointe of View,30.0,240,0.125,0
Phoenix,Frank’s New York Style Deli,9.0,240,0.0375,0
Phoenix,The Beach House,18.0,240,0.075,0
Phoenix,Lux Central,13.0,240,0.05416666666666667,0
Phoenix,Tutti Santi,11.0,240,0.04583333333333333,0
Phoenix,The Porch,26.0,240,0.10833333333333334,1
Phoenix,Centrico,37.0,240,0.15416666666666667,0
Phoenix,Hot Chicken Alley,12.0,240,0.05,1
Phoenix,George Yang’s Chinese Cuisine,2.0,240,0.008333333333333333,0
Phoenix,Pizzeria Bianco,26.0,240,0.10833333333333334,1
Phoenix,Palma,29.0,240,0.12083333333333333,1
Phoenix,"Snooze, an A.M. Eatery",45.0,240,0.1875,1
Phoenix,Sink Or Swim,2.0,240,0.008333333333333333,0
Phoenix,Pinay Good-Eats,7.0,240,0.029166666666666667,0
Phoenix,Lo-Lo’s Chicken & Waffles,4.0,240,0.016666666666666666,1
Phoenix,California Fish Grill,13.0,240,0.05416666666666667,1
Phoenix,Joyride Taco House,24.0,240,0.1,0
Phoenix,LOVECRAFT,21.0,240,0.0875,0
Phoenix,Fire At Will,33.0,240,0.1375,1
Phoenix,El Chullo Peruvian Restaurant & Bar,2.0,240,0.008333333333333333,0
Phoenix,Blanco Cocina + Cantina,26.0,240,0.10833333333333334,1
Phoenix,Noble Eatery,13.0,240,0.05416666666666667,0
Phoenix,Perfect Pear Bistro,43.0,240,0.17916666666666667,1
Phoenix,Postino Central,21.0,240,0.0875,0
Phoenix,Elly’s Brunch & Cafe,29.0,240,0.12083333333333333,0
Phoenix,King Salmon,12.0,240,0.05,0
Phoenix,FEZ,20.0,240,0.08333333333333333,0
Phoenix,Provision,36.0,240,0.15,0
Phoenix,Doughbird,21.0,240,0.0875,1
Phoenix,Federal Pizza,27.0,240,0.1125,0
Phoenix,Cupbop - Korean BBQ,8.0,240,0.03333333333333333,1
Phoenix,Pa’La Downtown,8.0,240,0.03333333333333333,0
Phoenix,Wanwaan,4.0,240,0.016666666666666666,0
Phoenix,Old Town Sarajevo,1.0,240,0.004166666666666667,0
Phoenix,Sottise,3.0,240,0.0125,0
Phoenix,Little Miss BBQ-University,11.0,240,0.04583333333333333,1
Phoenix,Naughty Tacos,7.0,240,0.029166666666666667,0
Phoenix,Smackin’ Wings,1.0,240,0.004166666666666667,0
Phoenix,Pa’La - 24th Street,11.0,240,0.04583333333333333,0
Phoenix,d’Lite Healthy On The Go,30.0,240,0.125,1
Phoenix,The Coronado PHX,12.0,240,0.05,0
Phoenix,Brunch & Sip,42.0,240,0.175,1
Phoenix,IL Bosco Pizza,21.0,240,0.0875,0
Phoenix,Phoenix City Grille,27.0,240,0.1125,0
Phoenix,Little Pickle - Temp. CLOSED,3.0,240,0.0125,0
Phoenix,Kabob Grill N’ Go,4.0,240,0.016666666666666666,0
Phoenix,Que Sazon Restaurant and Ceviche Bar,3.0,240,0.0125,0
Phoenix,Los Reyes De La Torta,18.0,240,0.075,1
Phoenix,Chula Seafood,11.0,240,0.04583333333333333,1
Phoenix,Torchy’s Tacos,8.0,240,0.03333333333333333,1
Phoenix,Asagao Sushi,12.0,240,0.05,0
Phoenix,Throne Brewing & Pizza Kitchen,15.0,240,0.0625,0
Phoenix,Cafecito,16.0,240,0.06666666666666667,1
Phoenix,Geordie’s at Wrigley Mansion,36.0,240,0.15,0
