city,title,city_restaurant_no,competition,competition_rate,,point,link,review_n
Long Beach,Habana Vieja Cuban Cuisine,Cuban,0,0,0,4.1,/biz/habana-vieja-cuban-cuisine-torrance,1300
Los Angeles,Calic Bagel,Bagels,Cafes,Sandwiches,0,5,/biz/calic-bagel-los-angeles,3
Los Gatos,Rose Market - Saratoga,Caterers,International Grocery,Persian/Iranian,0,3.3,/biz/rose-market-saratoga-saratoga-2,276
Mountain View,Tommy Thai,Cambodian,Thai,Asian Fusion,0,3.5,/biz/tommy-thai-mountain-view,845
Oakland,Palmetto,Steakhouses,American(New),Wine Bars,0,3.9,/biz/palmetto-oakland,180
Stockton,Best Sandwiches & Smoothies,Sandwiches,Juice Bars & Smoothies,0,0,3.9,/biz/best-sandwiches-and-smoothies-stockton,263
West Hollywood,Okja Dabang,Cafes,Coffee & Tea,Juice Bars & Smoothies,0,5,/biz/okja-dabang-los-angeles-5,2
"Washington, DC",Colada Shop,Cuban,0,0,0,4,/biz/colada-shop-washington,557
Miami,Basilico Ristorante,Italian,0,0,0,4.4,/biz/basilico-ristorante-virginia-gardens,208
Savannah,Tricks Barbecue,Barbeque,0,0,0,4.6,/biz/tricks-barbecue-savannah,68
Chicago,Uncle Mike’s Place,Braekfast & Brunch,American(Traditional),Filipino,0,4.3,/biz/uncle-mikes-place-chicago,833
Naperville,Jumbo Crab,Bars,Japanese,Sushi Bars,0,4.1,/biz/jumbo-crab-bolingbrook,101
Schaumburg,Duke’s Blues N Bbq,Barbeque,0,0,0,4.7,/biz/duke-s-blues-n-bbq-east-dundee,83
Allston,Oleana Restaurant,Mediterranean,0,0,0,4.3,/biz/oleana-restaurant-cambridge,1800
Allston,The Kenmore,Bars,Burgers,Hot Dogs,0,4.5,/biz/the-kenmore-boston,58
Allston,Earls Kitchen + Bar,American(New),Cocktail Bars,0,0,3.9,/biz/earls-kitchen-bar-boston-2,1400
Allston,The Smoke Shop- Harvard Square,Barbeque,Southren,0,0,3.9,/biz/the-smoke-shop-harvard-square-cambridge,60
Boston,Crazy Good Kitchen - Newbury,Bars,American(Traditional),Acai Bowls,0,3.9,/biz/crazy-good-kitchen-newbury-boston,176
Boston,Figs by Todd English,Pizza,Italian,0,0,3.7,/biz/figs-by-todd-english-boston-2,892
Somerville,Shine Square Pub,Sports Bars,Chicken Wings,American(Traditional),0,4.7,/biz/shine-square-pub-cambridge,27
Baltimore,Street Food By Water Song,Noodles,Chinese,0,0,4.3,/biz/street-food-by-water-song-towson,3
Minneapolis,Iconos Gastro Cantina,Mexican,Desserts,Cocktail Bars,0,4.1,/biz/iconos-gastro-cantina-minneapolis-2,69
Saint Paul,Momo Sushi,Japanese,Sushi Bars,Himalayan/Nepalese,0,4.5,/biz/momo-sushi-minneapolis-2,234
Princeton,Chaska,American(Traditional),0,0,0,5,/biz/chaska-kendall-park,1
Princeton,Cava - Trenton,Mediterranean,Salad,0,0,4,/biz/cava-trenton-trenton-2,1
Reno,SouthCreek Pizza,Pizza,0,0,0,4.4,/biz/southcreek-pizza-reno,635
Brooklyn,French Louie,French,0,0,0,4,/biz/french-louie-brooklyn,465
Brooklyn,La Chacra,Peruvian,0,0,0,3.9,/biz/la-chacra-brooklyn,321
Brooklyn,Sugar’d,Caribbean,0,0,0,3.6,/biz/sugard-brooklyn,35
Long Island City,Beebe’s,Pizza,Italian,Tapas/Small Plate,0,4.2,/biz/beebes-long-island-city-4,173
Long Island City,Clover Hill,American(New),0,0,0,4.5,/biz/clover-hill-brooklyn,47
Long Island City,Cathédrale Restaurant,French,Mediterranean,0,0,3.8,/biz/cath%C3%A9drale-restaurant-new-york-city,440
New York,Blue Ribbon Brasserie - SoHo,American(Traditional),Cocktail Bars,Desserts,0,4.3,/biz/blue-ribbon-brasserie-soho-new-york,1000
Flushing,La Cabana,Latin American,Dominican,0,0,4.3,/biz/la-cabana-corona-3,193
Flushing,Matiz Latin Cuisine,Latin American,Bars,0,0,4,/biz/matiz-latin-cuisine-forest-hills,364
Flushing,My Kitchen,American(New),Venus & Event Space,0,0,4.1,/biz/my-kitchen-queens-2,126
Cleveland,Edison’s Next Door Pizza,Pizza,0,0,0,2.7,/biz/edison-s-next-door-pizza-cleveland,3
Philadelphia,Vybz Cuisine,Caribbean,Hookan Bars,0,0,5,/biz/vybz-cuisine-philadelphia,1
Pittsburgh,3 Rivers Restaurant,American(New),0,0,0,2.2,/biz/3-rivers-restaurant-pittsburgh,12
Nashville,Good  Times Full Service Bar,Bars,Sandwiches,0,0,5,/biz/good-times-full-service-bar-nashville,1
Houston,Kazami Ramen Izakaya,Ramen,Izakaya,0,0,4,/biz/kazami-ramen-izakaya-houston,1
Houston,Katz’s Galleria,Delis,0,0,0,3.3,/biz/katz-s-galleria-houston,54
Alexandria,Lumings,Filipino,Seafood,Barbeque,0,4.3,/biz/lumings-fort-washington,119
Arlington,Lutèce,French,Bars,0,0,4.4,/biz/lut%C3%A8ce-washington-2,140
Richmond,Early Bird Biscuit Company,Bakeries,Coffee & Tea,Braekfast & Brunch,0,4.4,/biz/early-bird-biscuit-company-richmond,388
Burlington,Sea Shanty Fish & Chips,Seafood,Fish & Chips,Fast Food,0,4.6,/biz/sea-shanty-fish-and-chips-burlington,14
Burlington,Deli 126,Cocktail Bars,Sandwiches,0,0,3.6,/biz/deli-126-burlington,9
Seattle,Cora Pizza & Plates,Pizza,Salad,Beer,Wine & Spirits,5,/biz/cora-pizza-and-plates-seattle,3
Seattle,Meet the Moon,Braekfast & Brunch,Bars,Comfort Food,0,4,/biz/meet-the-moon-seattle,699
