city,title,rank,point,tag,link,review
Phoenix,Rosso Italian,41,4.4,"['Italian', 'Pizza', 'Seafood']",/biz/rosso-italian-phoenix-2,(116 reviews)
Phoenix,PHX Burrito House,42,4.3,['Mexican'],/biz/phx-burrito-house-phoenix,(967 reviews)
Phoenix,Hatch-it Green Chile Burgers & Tacos,43,4.4,"['New Mexican Cuisine', 'Burgers', 'Tacos']",/biz/hatch-it-green-chile-burgers-and-tacos-phoenix,(327 reviews)
Phoenix,Otro Cafe,44,4.1,"['Mexican', 'Breakfast & Brunch']",/biz/otro-cafe-phoenix,(1.1k reviews)
Phoenix,Buck & Rider,45,4.4,"['Seafood', 'Breakfast & Brunch', 'Live/Raw Food']",/biz/buck-and-rider-phoenix,(1.7k reviews)
Phoenix,Welcome Diner,46,4.4,['Diners'],/biz/welcome-diner-phoenix,(1.3k reviews)
Phoenix,La Santisima,47,4.2,"['Mexican', 'Vegan', 'Vegetarian']",/biz/la-santisima-phoenix-2,(2.5k reviews)
Phoenix,The Kettle Black Kitchen & Pub,48,4.3,"['Gastropubs', 'American (Traditional)', 'Fish & Chips']",/biz/the-kettle-black-kitchen-and-pub-phoenix,(1.3k reviews)
Phoenix,Vovomeena,49,4.4,"['Coffee & Tea', 'Breakfast & Brunch']",/biz/vovomeena-phoenix,(1.3k reviews)
Phoenix,Harumi Sushi & Sake- Downtown,50,4.6,"['Japanese', 'Sushi Bars', 'Seafood']",/biz/harumi-sushi-and-sake-downtown-phoenix,(2.5k reviews)
Phoenix,JINYA Ramen Bar - Central Phoenix,61,3.6,"['Ramen', 'Noodles', 'Tapas/Small Plates']",/biz/jinya-ramen-bar-central-phoenix-coming-soon-phoenix-2,(58 reviews)
Phoenix,Sidecar Social Club,62,4.6,"['Cocktail Bars', 'American (New)', 'Beer, Wine & Spirits']",/biz/sidecar-social-club-phoenix,(65 reviews)
Phoenix,Taiwanmama,63,5.0,"['Bubble Tea', 'Taiwanese', 'Chicken Shop']",/biz/taiwanmama-phoenix,(1 review)
Phoenix,Frank’s New York Style Deli,64,4.8,"['Delis', 'Sandwiches']",/biz/franks-new-york-style-deli-phoenix,(419 reviews)
Phoenix,Mifan claypot kitchen,65,4.4,"['Asian Fusion', 'Vegan']",/biz/mifan-claypot-kitchen-phoenix-2,(102 reviews)
Phoenix,El Chullo Peruvian Restaurant,66,4.7,"['Peruvian', 'Bars', 'Seafood']",/biz/el-chullo-peruvian-restaurant-phoenix,(14 reviews)
Phoenix,Vecina,67,4.7,"['Latin American', 'American (New)']",/biz/vecina-phoenix,(281 reviews)
Phoenix,The Henry,68,4.1,"['American (New)', 'Breakfast & Brunch', 'Coffee & Tea']",/biz/the-henry-phoenix,(2.1k reviews)
Phoenix,The Genuine,69,3.9,['American (New)'],/biz/the-genuine-phoenix-2,(122 reviews)
Phoenix,Nook Kitchen,70,4.4,"['Italian', 'American (New)', 'Cocktail Bars']",/biz/nook-kitchen-phoenix,(632 reviews)
Phoenix,The Sandwich Spot - Phoenix,121,4.8,"['Sandwiches', 'Salad', 'Breakfast & Brunch']",/biz/the-sandwich-spot-phoenix-phoenix,(110 reviews)
Phoenix,Naughty Tacos,122,3.1,"['Food Trucks', 'Tacos', 'Desserts']",/biz/naughty-tacos-phoenix,(130 reviews)
Phoenix,Old Town Sarajevo,123,4.4,['Modern European'],/biz/old-town-sarajevo-phoenix,(387 reviews)
Phoenix,Centrico,124,4.6,"['Mexican', 'Bars', 'Breakfast & Brunch']",/biz/centrico-phoenix,(485 reviews)
Phoenix,Lo-Lo’s Chicken & Waffles,125,3.8,"['Southern', 'Soul Food', 'Waffles']",/biz/lo-los-chicken-and-waffles-phoenix,(2.8k reviews)
Phoenix,Pizzeria Bianco,126,4.0,"['Pizza', 'Salad', 'Tapas/Small Plates']",/biz/pizzeria-bianco-phoenix,(3.3k reviews)
Phoenix,Blanco Cocina + Cantina,127,4.4,"['Tacos', 'Cocktail Bars', 'New Mexican Cuisine']",/biz/blanco-cocina-cantina-phoenix-2,(398 reviews)
Phoenix,"Snooze, an A.M. Eatery",128,4.2,"['Breakfast & Brunch', 'American (Traditional)', 'Cocktail Bars']",/biz/snooze-an-a-m-eatery-phoenix-3,(2k reviews)
Phoenix,Different Pointe of View,129,4.2,"['American (New)', 'Lounges']",/biz/different-pointe-of-view-phoenix,(868 reviews)
Phoenix,California Fish Grill,130,4.6,"['Seafood', 'Fish & Chips', 'Tacos']",/biz/california-fish-grill-phoenix,(173 reviews)
Phoenix,Pinay Good-Eats,141,4.9,"['Filipino', 'Desserts', 'Bakeries']",/biz/pinay-good-eats-phoenix,(15 reviews)
Phoenix,Sottise,142,4.2,"['French', 'Beer, Wine & Spirits']",/biz/sottise-phoenix,(98 reviews)
Phoenix,Little Chef Diner,143,4.8,['Diners'],/biz/little-chef-diner-phoenix,(32 reviews)
Phoenix,Elly’s Brunch & Cafe,144,3.7,"['Breakfast & Brunch', 'Coffee & Tea', 'Juice Bars & Smoothies']",/biz/ellys-brunch-and-cafe-phoenix-2,(710 reviews)
Phoenix,Provision,145,3.7,"['Breakfast & Brunch', 'Cocktail Bars']",/biz/provision-phoenix-6,(91 reviews)
Phoenix,Pa’La Downtown,146,4.5,"['Mediterranean', 'Tapas/Small Plates', 'Japanese']",/biz/pa-la-downtown-phoenix-3,(159 reviews)
Phoenix,FEZ,147,3.9,"['Bars', 'Mediterranean', 'American (Traditional)']",/biz/fez-phoenix-2,(645 reviews)
Phoenix,Doughbird,148,4.1,"['Pizza', 'Comfort Food', 'American (Traditional)']",/biz/doughbird-phoenix-2,(1k reviews)
Phoenix,Cupbop - Korean BBQ,149,3.8,"['Barbeque', 'Korean', 'Asian Fusion']",/biz/cupbop-korean-bbq-phoenix-5,(19 reviews)
Phoenix,Breakfast Bitch,150,3.5,['Breakfast & Brunch'],/biz/breakfast-bitch-phoenix-9,(1k reviews)
Phoenix,Elements,201,4.3,"['American (New)', 'Breakfast & Brunch', 'Seafood']",/biz/elements-paradise-valley-4,(801 reviews)
Phoenix,Sushiholic,202,4.4,"['Sushi Bars', 'Japanese', 'Tapas/Small Plates']",/biz/sushiholic-phoenix,(1.2k reviews)
Phoenix,Geordie’s at Wrigley Mansion,203,3.9,"['American (New)', 'Wine Bars', 'Venues & Event Spaces']",/biz/geordies-at-wrigley-mansion-phoenix,(106 reviews)
Phoenix,Island Grill AZ,204,4.3,['Caribbean'],/biz/island-grill-az-phoenix,(6 reviews)
Phoenix,Motomoto Sushi & Izakaya,205,3.8,"['Izakaya', 'Cocktail Bars', 'Tapas/Small Plates']",/biz/motomoto-sushi-and-izakaya-phoenix,(94 reviews)
Phoenix,The Vig North Central,206,3.6,"['American (Traditional)', 'American (New)', 'Breakfast & Brunch']",/biz/the-vig-north-central-phoenix,(61 reviews)
Phoenix,Ms Martha’s Caribbean Restaurant,207,4.6,['Caribbean'],/biz/ms-marthas-caribbean-restaurant-phoenix,(69 reviews)
Phoenix,Fuku Sushi,208,3.2,"['Sushi Bars', 'Japanese']",/biz/fuku-sushi-phoenix,(55 reviews)
Phoenix,Bisutoro,209,3.7,"['Ramen', 'Sushi Bars']",/biz/bisutoro-phoenix-2,(85 reviews)
