city,title,rank,point,link,review_n,rank_review
Alameda,Jong Ga House,236,4.0,/biz/jong-ga-house-oakland,2300.0,8.0
Alameda,Brendas Oakland,151,3.9,/biz/brendas-oakland-oakland,1000.0,33.0
Alameda,Homeroom,201,4.1,/biz/homeroom-oakland,6500.0,1.0
Alameda,Yojimbo,36,3.9,/biz/yojimbo-alameda,1700.0,14.0
Alameda,Quinns Lighthouse,183,3.5,/biz/quinns-lighthouse-oakland,1000.0,34.0
Alameda,Eves Waterfront,224,3.1,/biz/eves-waterfront-oakland-2,466.0,81.0
Alameda,East End,160,3.7,/biz/east-end-alameda,565.0,63.0
Alameda,FOB Kitchen,190,4.1,/biz/fob-kitchen-oakland,517.0,71.0
Alameda,Cholita Linda,24,4.4,/biz/cholita-linda-alameda-8,480.0,77.0
Alameda,Pucquio,234,4.1,/biz/pucquio-oakland,331.0,101.0
Alameda,Sobre Mesa,191,4.0,/biz/sobre-mesa-oakland-4,266.0,117.0
Alameda,Cinema Grill,218,3.4,/biz/cinema-grill-alameda,251.0,126.0
Alameda,Aman Cafe,225,4.8,/biz/aman-cafe-oakland,79.0,181.0
Alameda,Sachi Sushi,152,4.1,/biz/sachi-sushi-alameda-2,75.0,185.0
Alameda,LA VIDA FISH & CHIPS,43,4.3,/biz/la-vida-fish-and-chips-emeryville,26.0,213.0
Alexandria,Cheesetique,236,4.2,/biz/cheesetique-alexandria-3,802.0,44.0
Alexandria,Momo Sushi & Cafe,177,4.1,/biz/momo-sushi-and-cafe-alexandria,1100.0,28.0
Alexandria,Busboys and Poets - Shirlington,204,3.9,/biz/busboys-and-poets-shirlington-arlington-2,1900.0,15.0
Alexandria,Mikes American,14,4.4,/biz/mikes-american-springfield,2800.0,4.0
Alexandria,Fontaine,202,3.8,/biz/fontaine-alexandria,851.0,38.0
Alexandria,Rocklands Barbeque and Grilling Company - Alexandria,233,3.9,/biz/rocklands-barbeque-and-grilling-company-alexandria-alexandria-2,423.0,85.0
Alexandria,Faccia Luna,149,3.9,/biz/faccia-luna-alexandria,375.0,92.0
Alexandria,Haute Dog and Fries,196,3.9,/biz/haute-dog-and-fries-alexandria,707.0,50.0
Alexandria,Northside 10,22,4.3,/biz/northside-10-alexandria,386.0,91.0
Alexandria,The Best Sandwich Place,229,4.6,/biz/the-best-sandwich-place-washington-5,268.0,121.0
Alexandria,The Club Burgers & Sandwiches,175,4.2,/biz/the-club-burgers-and-sandwiches-alexandria,268.0,120.0
Alexandria,Gordon Ramsay Fish & Chips,208,3.7,/biz/gordon-ramsay-fish-and-chips-washington,275.0,119.0
