city,title,rank,point,tag,link,review_n
Alameda,Jong Ga House,8.0,4.0,"['Korean', 'Barbeque', 'Hot Pot']",/biz/jong-ga-house-oakland,2300.0
Alameda,Brenda’s Oakland,33.0,3.9,"['Breakfast & Brunch', 'Southern', 'Cajun/Creole']",/biz/brendas-oakland-oakland,1000.0
Alameda,Homeroom,1.0,4.1,"['American (Traditional)', 'Comfort Food']",/biz/homeroom-oakland,6500.0
Alameda,Yojimbo,14.0,3.9,"['Sushi Bars', 'Japanese']",/biz/yojimbo-alameda,1700.0
Alameda,Quinn’s Lighthouse,34.0,3.5,"['Bars', 'Seafood']",/biz/quinns-lighthouse-oakland,1000.0
Alameda,Eve’s Waterfront,81.0,3.1,"['Seafood', 'Venues & Event Spaces']",/biz/eves-waterfront-oakland-2,466.0
Alameda,East End,63.0,3.7,"['Pizza', 'American (New)', 'Cocktail Bars']",/biz/east-end-alameda,565.0
Alameda,FOB Kitchen,71.0,4.1,"['Filipino', 'Breakfast & Brunch', 'Cocktail Bars']",/biz/fob-kitchen-oakland,517.0
Alameda,Cholita Linda,77.0,4.4,"['Latin American', 'Sandwiches', 'Tacos']",/biz/cholita-linda-alameda-8,480.0
Alameda,Pucquio,101.0,4.1,['Peruvian'],/biz/pucquio-oakland,331.0
Alameda,Sobre Mesa,117.0,4.0,"['Tapas/Small Plates', 'Cocktail Bars', 'Latin American']",/biz/sobre-mesa-oakland-4,266.0
Alameda,Cinema Grill,126.0,3.4,"['Comfort Food', 'Beer, Wine & Spirits', 'Cinema']",/biz/cinema-grill-alameda,251.0
Alameda,Aman Cafe,181.0,4.8,"['Malaysian', 'Coffee & Tea', 'Cafes']",/biz/aman-cafe-oakland,79.0
Alameda,Sachi Sushi,185.0,4.1,"['Sushi Bars', 'Japanese']",/biz/sachi-sushi-alameda-2,75.0
Alameda,LA VIDA FISH & CHIPS,213.0,4.3,['Fish & Chips'],/biz/la-vida-fish-and-chips-emeryville,26.0
Alexandria,Cheesetique,44.0,4.2,"['Cheese Shops', 'Sandwiches', 'Wine Bars']",/biz/cheesetique-alexandria-3,802.0
Alexandria,Momo Sushi & Cafe,28.0,4.1,"['Sushi Bars', 'Japanese']",/biz/momo-sushi-and-cafe-alexandria,1100.0
Alexandria,Busboys and Poets - Shirlington,15.0,3.9,"['Breakfast & Brunch', 'American (New)', 'Vegan']",/biz/busboys-and-poets-shirlington-arlington-2,1900.0
Alexandria,Mike’s American,4.0,4.4,"['American (Traditional)', 'Seafood', 'Salad']",/biz/mikes-american-springfield,2800.0
Alexandria,Fontaine,38.0,3.8,"['Creperies', 'French', 'Breakfast & Brunch']",/biz/fontaine-alexandria,851.0
Alexandria,Rocklands Barbeque and Grilling Company - Alexandria,85.0,3.9,"['Barbeque', 'Salad', 'Sandwiches']",/biz/rocklands-barbeque-and-grilling-company-alexandria-alexandria-2,423.0
Alexandria,Faccia Luna,92.0,3.9,"['Pizza', 'Italian', 'American (Traditional)']",/biz/faccia-luna-alexandria,375.0
Alexandria,Haute Dog and Fries,50.0,3.9,"['Hot Dogs', 'American (Traditional)']",/biz/haute-dog-and-fries-alexandria,707.0
Alexandria,Northside 10,91.0,4.3,"['Bars', 'American (Traditional)', 'Breakfast & Brunch']",/biz/northside-10-alexandria,386.0
Alexandria,The Best Sandwich Place,121.0,4.6,"['Breakfast & Brunch', 'Sandwiches', 'Salad']",/biz/the-best-sandwich-place-washington-5,268.0
Alexandria,The Club Burgers & Sandwiches,120.0,4.2,"['Burgers', 'Sandwiches', 'Chicken Wings']",/biz/the-club-burgers-and-sandwiches-alexandria,268.0
Alexandria,Gordon Ramsay Fish & Chips,119.0,3.7,"['Fish & Chips', 'Comfort Food', 'Seafood']",/biz/gordon-ramsay-fish-and-chips-washington,275.0
Alexandria,KitchenCray - Alexandria,145.0,3.4,"['Breakfast & Brunch', 'Southern']",/biz/kitchencray-alexandria-alexandria,167.0
Alexandria,Gyu San Japanese BBQ,172.0,4.7,"['Japanese', 'Barbeque', 'Sushi Bars']",/biz/gyu-san-japanese-bbq-arlington-3,99.0
Alexandria,Dave’s Hot Chicken,222.0,3.9,"['Chicken Shop', 'Halal']",/biz/daves-hot-chicken-vienna,16.0
Allston,Giulia,40.0,4.4,"['Italian', 'Wine Bars', 'Cocktail Bars']",/biz/giulia-cambridge,537.0
Allston,FuGaKyu Japanese Cuisine - Brookline,10.0,3.7,"['Sushi Bars', 'Ramen', 'Seafood']",/biz/fugakyu-japanese-cuisine-brookline-brookline-2,1300.0
Allston,Luke’s Lobster Back Bay,2.0,4.2,"['Seafood', 'Soup', 'Sandwiches']",/biz/lukes-lobster-back-bay-boston,2000.0
Allston,Kaju Tofu House,24.0,3.9,['Korean'],/biz/kaju-tofu-house-allston-2,742.0
Allston,Earls Kitchen + Bar,8.0,3.9,"['American (New)', 'Cocktail Bars']",/biz/earls-kitchen-bar-boston-2,1400.0
Allston,Brothers & Sisters Co Coffeehouse + Cafe,85.0,4.0,"['Coffee & Tea', 'Bagels', 'Breakfast & Brunch']",/biz/brothers-and-sisters-co-coffeehouse-cafe-brookline,298.0
Allston,Waypoint,51.0,3.9,"['Bars', 'American (New)', 'Seafood']",/biz/waypoint-cambridge,463.0
Allston,T Anthony’s Restaurant,81.0,3.6,"['Pizza', 'Italian', 'Breakfast & Brunch']",/biz/t-anthonys-restaurant-boston-2,323.0
Allston,Pammy’s,61.0,4.4,"['Italian', 'American (New)']",/biz/pammys-cambridge-2,402.0
Allston,Mei Mei Street Kitchen,115.0,4.3,"['Caterers', 'Food Trucks', 'Asian Fusion']",/biz/mei-mei-street-kitchen-boston-4,198.0
Allston,Habanero Mexican Grill,101.0,4.0,['Mexican'],/biz/habanero-mexican-grill-allston,237.0
Allston,Surya Indian Kitchen,125.0,4.1,"['Indian', 'Food Delivery Services']",/biz/surya-indian-kitchen-cambridge,174.0
Allston,Gigi,175.0,4.2,"['Italian', 'Cocktail Bars']",/biz/gigi-boston-2,58.0
Allston,Garrison House,180.0,3.6,"['Bars', 'American (New)', 'Venues & Event Spaces']",/biz/garrison-house-brookline,46.0
Allston,El Mondonguito,218.0,3.9,['Puerto Rican'],/biz/el-mondonguito-roxbury,14.0
Ann Arbor,Tmaz Taqueria,27.0,4.2,['Mexican'],/biz/tmaz-taqueria-ann-arbor,449.0
Ann Arbor,Black Pearl Ann Arbor,41.0,3.8,"['Seafood', 'Lounges', 'Cocktail Bars']",/biz/black-pearl-ann-arbor-ann-arbor-2,352.0
Ann Arbor,Blue Tractor BBQ & Brewery,13.0,3.4,"['Breweries', 'Pubs', 'American (Traditional)']",/biz/blue-tractor-bbq-and-brewery-ann-arbor-2,605.0
Ann Arbor,Pacific Rim,18.0,4.1,['Asian Fusion'],/biz/pacific-rim-ann-arbor,519.0
Ann Arbor,Bigalora Wood Fired Cucina,31.0,3.5,"['Italian', 'Pizza', 'Gluten-Free']",/biz/bigalora-wood-fired-cucina-ann-arbor,418.0
Ann Arbor,Paesano Restaurant & Wine Bar,63.0,3.5,"['Italian', 'Wine Bars', 'American (New)']",/biz/paesano-restaurant-and-wine-bar-ann-arbor,275.0
Ann Arbor,Sushi Town,62.0,4.3,['Sushi Bars'],/biz/sushi-town-ann-arbor,276.0
Ann Arbor,Dominick’s,76.0,3.6,"['Italian', 'Lounges']",/biz/dominicks-ann-arbor,230.0
Ann Arbor,Biercamp,74.0,4.6,"['Meat Shops', 'Breweries', 'Hot Dogs']",/biz/biercamp-ann-arbor,235.0
Ann Arbor,Mac’s Acadian Seafood Shack,112.0,3.4,"['American (Traditional)', 'Seafood', 'Cajun/Creole']",/biz/macs-acadian-seafood-shack-saline,157.0
Ann Arbor,Ginger Deli,107.0,4.1,"['Delis', 'Sandwiches', 'Vietnamese']",/biz/ginger-deli-ann-arbor,167.0
Ann Arbor,Bobcat Bonnie’s,131.0,4.0,"['American (New)', 'Gastropubs']",/biz/bobcat-bonnies-ypsilanti,136.0
Ann Arbor,Cantina,148.0,3.5,"['Bars', 'Mexican', 'Tapas/Small Plates']",/biz/cantina-ann-arbor,98.0
Ann Arbor,First Watch,166.0,2.8,['Breakfast & Brunch'],/biz/first-watch-ann-arbor,57.0
Ann Arbor,Unicorn Market,224.0,3.7,"['Grocery', 'Pizza', 'Delis']",/biz/unicorn-market-ann-arbor-3,3.0
Arlington,Lost Dog Cafe,38.0,3.7,"['Sandwiches', 'Pizza', 'Bars']",/biz/lost-dog-cafe-arlington-2,826.0
Arlington,TNR Cafe,44.0,3.8,"['Chinese', 'Coffee & Tea']",/biz/tnr-cafe-arlington-6,779.0
Arlington,Le Diplomate,3.0,4.3,"['Brasseries', 'French', 'Breakfast & Brunch']",/biz/le-diplomate-washington,4900.0
Arlington,Founding Farmers - Washington,1.0,4.0,"['American (Traditional)', 'Coffee & Tea', 'Breakfast & Brunch']",/biz/founding-farmers-washington-washington-3,16400.0
Arlington,Mala Tang,48.0,3.3,"['Chinese', 'Hot Pot']",/biz/mala-tang-arlington,707.0
Arlington,La Famosa,94.0,4.3,"['Puerto Rican', 'Coffee & Tea', 'Bars']",/biz/la-famosa-washington,359.0
Arlington,Skydome Restaurant,89.0,3.0,"['Lounges', 'American (New)']",/biz/skydome-restaurant-arlington,385.0
Arlington,Mezeh - Crystal City,69.0,4.3,"['Mediterranean', 'Halal', 'Salad']",/biz/mezeh-crystal-city-arlington-2,506.0
Arlington,Tortas Y Tacos La Chiquita,50.0,4.5,['Mexican'],/biz/tortas-y-tacos-la-chiquita-arlington-2,674.0
Arlington,Taco Ssam,107.0,4.3,"['Korean', 'Mexican']",/biz/taco-ssam-baileys-crossroads-3,290.0
Arlington,Taco Rock,102.0,4.1,['Tacos'],/biz/taco-rock-arlington,300.0
Arlington,St James - Modern Caribbean,130.0,4.3,['Caribbean'],/biz/st-james-modern-caribbean-washington,201.0
Arlington,Troy’s Italian Kitchen,145.0,4.0,"['Pizza', 'Italian', 'Vegan']",/biz/troys-italian-kitchen-arlington,172.0
Arlington,The Simple Greek,158.0,3.8,['Greek'],/biz/the-simple-greek-arlington-3,137.0
