city,title,rank,point,tag,link,review
Phoenix,Aftermath,1,4.5,"['American (New)', 'Cocktail Bars', 'Burgers']",/biz/aftermath-phoenix-6,(238 reviews)
Phoenix,Oak,2,3.8,['American (New)'],/biz/oak-phoenix-3,(2.1k reviews)
Phoenix,Neighborly Public House,3,4.3,['American (New)'],/biz/neighborly-public-house-phoenix,(172 reviews)
Phoenix,Windsor,4,4.3,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']",/biz/windsor-phoenix,(1.7k reviews)
Phoenix,Pubblico Italian Eatery,5,4.4,"['Italian', 'Bars', 'Pizza']",/biz/pubblico-italian-eatery-phoenix-3,(526 reviews)
Phoenix,Coabana,6,4.2,"['Cuban', 'Cocktail Bars']",/biz/coabana-phoenix,(130 reviews)
Phoenix,Persepshen,7,4.6,"['Beer, Wine & Spirits', 'Tapas/Small Plates']",/biz/persepshen-phoenix,(192 reviews)
Phoenix,First & Last,8,4.4,"['Italian', 'American (New)', 'Cocktail Bars']",/biz/first-and-last-phoenix,(185 reviews)
Phoenix,Restaurant Progress,9,4.5,"['Bars', 'American (New)']",/biz/restaurant-progress-phoenix-3,(305 reviews)
Phoenix,Teddy’s Preserve,10,4.6,"['Cocktail Bars', 'Food Trucks', 'American (New)']",/biz/teddys-preserve-phoenix,(38 reviews)
Phoenix,The Macintosh,11,4.4,"['American (New)', 'Southern', 'Cocktail Bars']",/biz/the-macintosh-phoenix,(1.1k reviews)
Phoenix,LATHA,12,4.4,"['African', 'Caribbean', 'Brazilian']",/biz/latha-phoenix,(44 reviews)
Phoenix,The Green Woodpecker,13,4.6,"['Tacos', 'Wine Bars', 'Beer Bar']",/biz/the-green-woodpecker-phoenix,(34 reviews)
Phoenix,Rough Rider,14,4.3,"['American (New)', 'Cocktail Bars', 'Seafood']",/biz/rough-rider-phoenix,(345 reviews)
Phoenix,The Gladly,15,4.4,"['American (New)', 'Whiskey Bars', 'Venues & Event Spaces']",/biz/the-gladly-phoenix,(1.1k reviews)
Phoenix,Bobby Q,16,4.5,"['Barbeque', 'American (New)']",/biz/bobby-q-phoenix-12,(4.7k reviews)
Phoenix,The Bread And Honey House Arcadia,17,4.6,"['Breakfast & Brunch', 'American (New)', 'Coffee & Tea']",/biz/the-bread-and-honey-house-arcadia-phoenix-4,(550 reviews)
Phoenix,The Clever Koi,18,4.2,"['Asian Fusion', 'Ramen', 'Cocktail Bars']",/biz/the-clever-koi-phoenix-3,(1.9k reviews)
Phoenix,Tequila Cocina + Cantina,19,4.0,"['New Mexican Cuisine', 'Cocktail Bars']",/biz/tequila-cocina-cantina-phoenix,(99 reviews)
Phoenix,Samsara,20,4.7,"['Hookah Bars', 'Persian/Iranian', 'Cocktail Bars']",/biz/samsara-phoenix,(13 reviews)
Phoenix,The Arrogant Butcher,21,4.0,"['American (Traditional)', 'Seafood', 'Cocktail Bars']",/biz/the-arrogant-butcher-phoenix-3,(3.1k reviews)
Phoenix,Fate Brewing Company - Phoenix,22,4.4,"['Breweries', 'American (Traditional)', 'Party & Event Planning']",/biz/fate-brewing-company-phoenix-phoenix,(60 reviews)
Phoenix,Culinary Dropout,23,4.1,['American (New)'],/biz/culinary-dropout-tempe,(2.6k reviews)
Phoenix,Cibo,24,4.3,"['Pizza', 'Italian', 'Sandwiches']",/biz/cibo-phoenix,(2.7k reviews)
Phoenix,Original Gravity,25,4.5,"['Beer Bar', 'American (New)', 'Gastropubs']",/biz/original-gravity-phoenix-3,(334 reviews)
Phoenix,Fuego at The Clarendon,26,4.3,"['Latin American', 'Mexican', 'Breakfast & Brunch']",/biz/fuego-at-the-clarendon-phoenix,(1k reviews)
Phoenix,Taiwanmama,27,5.0,"['Bubble Tea', 'Taiwanese', 'Chicken Shop']",/biz/taiwanmama-phoenix,(1 review)
Phoenix,Oven + Vine,28,4.4,"['American (New)', 'Wine Bars']",/biz/oven-vine-phoenix,(364 reviews)
Phoenix,The Farish House,29,4.6,"['Wine Bars', 'American (New)', 'Tapas/Small Plates']",/biz/the-farish-house-phoenix,(298 reviews)
Phoenix,Ocotillo,30,4.1,"['American (New)', 'Breakfast & Brunch', 'Bars']",/biz/ocotillo-phoenix,(1.4k reviews)
Phoenix,Little Rituals,31,4.5,"['Cocktail Bars', 'Lounges', 'American (New)']",/biz/little-rituals-phoenix,(409 reviews)
